genome	assembly_accession	biosample	canonical_attribute	attribute_name	attribute_value
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000147675-V2_GENO_10000001	GCA_000147675.2	SAMN00008344	host	host	Homo sapiens
RSGB23-1_GCA-000148525-V2_GENO_10000001	GCA_000148525.2	SAMN00001434	host	host	Homo sapiens
RSGB23-1_GCA-000148525-V2_GENO_10000001	GCA_000148525.2	SAMN00001434	isolation_source	isolation_source	mouth
RSGB23-1_GCA-000148545-V2_GENO_10000001	GCA_000148545.2	SAMN00001435	host	host	Homo sapiens
RSGB23-1_GCA-000148545-V2_GENO_10000001	GCA_000148545.2	SAMN00001435	isolation_source	isolation_source	mouth
RSGB23-1_GCA-000165125-V2_GENO_10000001	GCA_000165125.2	SAMN02952911	host	host	Scleritoderma cyanea
RSGB23-1_GCA-000165715-V3_GENO_10000001	GCA_000165715.3	SAMN00103628	environment	environment	Fresh water, Marine
RSGB23-1_GCA-000165715-V3_GENO_10000001	GCA_000165715.3	SAMN00103628	isolation_site	Isolation Site	Water from salt pit, Lagoa Vermelha, Brazil
RSGB23-1_GCA-000165715-V3_GENO_10000001	GCA_000165715.3	SAMN00103628	isolation_source	isolation_source	water from a salt pit
RSGB23-1_GCA-000166195-V3_GENO_10000001	GCA_000166195.3	SAMN02256535	environment	environment	Rice paddies
RSGB23-1_GCA-000166195-V3_GENO_10000001	GCA_000166195.3	SAMN02256535	isolation_source	isolation_source	sample collected from 10-20 cm below the surface of the the acidic Sphagnum peat bog Bakchar
RSGB23-1_GCA-000184345-V2_GENO_10000001	GCA_000184345.2	SAMN00191235	environment	environment	Marine, Hot spring
RSGB23-1_GCA-000184345-V2_GENO_10000001	GCA_000184345.2	SAMN00191235	isolation_site	Isolation Site	Marine hot spring; USSR, Shiashkoten island
RSGB23-1_GCA-000184345-V2_GENO_10000001	GCA_000184345.2	SAMN00191235	isolation_source	isolation_source	marine hot spring
RSGB23-1_GCA-000186705-V2_GENO_10000001	GCA_000186705.2	SAMN02471021	isolation_source	isolation_source	upper water in South China Sea
RSGB23-1_GCA-000189775-V3_GENO_10000001	GCA_000189775.3	SAMN00204087	environment	environment	Fresh water, Sediment
RSGB23-1_GCA-000189775-V3_GENO_10000001	GCA_000189775.3	SAMN00204087	isolation_site	Isolation Site	Frying Pan Springs (thermal spring)
RSGB23-1_GCA-000189775-V3_GENO_10000001	GCA_000189775.3	SAMN00204087	isolation_source	isolation_source	Frying Pan Springs (thermal spring)
RSGB23-1_GCA-000190735-V2_GENO_10000001	GCA_000190735.2	SAMN00103626	environment	environment	Marine
RSGB23-1_GCA-000190735-V2_GENO_10000001	GCA_000190735.2	SAMN00103626	isolation_site	Isolation Site	Soil, Iceland
RSGB23-1_GCA-000190735-V2_GENO_10000001	GCA_000190735.2	SAMN00103626	isolation_source	isolation_source	soil
RSGB23-1_GCA-000193225-V2_GENO_10000001	GCA_000193225.2	SAMN02393706	host	host	Aporrectodea tuberculata
RSGB23-1_GCA-000193225-V2_GENO_10000001	GCA_000193225.2	SAMN02393706	isolation_source	isolation_source	nephridia of a Aporrectodea tuberculata specimen
RSGB23-1_GCA-000211855-V3_GENO_10000001	GCA_000211855.3	SAMN00713635	environment	environment	Sea water
RSGB23-1_GCA-000211855-V3_GENO_10000001	GCA_000211855.3	SAMN00713635	isolation_site	Isolation Site	deep sea
RSGB23-1_GCA-000211855-V3_GENO_10000001	GCA_000211855.3	SAMN00713635	isolation_source	isolation_source	deep sea
RSGB23-1_GCA-000213355-V2_GENO_10000001	GCA_000213355.2	SAMN00260149	isolation_site	Isolation Site	North Pacific Sub-Tropical Gyre (Hawaii Ocean Time-series (HOT) station ALOHA)
RSGB23-1_GCA-000213355-V2_GENO_10000001	GCA_000213355.2	SAMN00260149	isolation_source	isolation_source	North Pacific sub-tropical gyre (Hawaii Ocean Time-series (HOT) station ALOHA)
RSGB23-1_GCA-000213355-V2_GENO_10000001	GCA_000213355.2	SAMN00260149	isolation_source	isolation_source	Seawater
RSGB23-1_GCA-000213395-V2_GENO_10000001	GCA_000213395.2	SAMN00260145	isolation_site	Isolation Site	South Altlantic Sub-Tropical Gyre (station KN192-5-11)
RSGB23-1_GCA-000213395-V2_GENO_10000001	GCA_000213395.2	SAMN00260145	isolation_source	isolation_source	Seawater
RSGB23-1_GCA-000213395-V2_GENO_10000001	GCA_000213395.2	SAMN00260145	isolation_source	isolation_source	South Atlantic sub-tropical gyre (station KN192-5-11)
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000214475-V2_GENO_10000001	GCA_000214475.2	SAMN00031761	host	host	Homo sapiens
RSGB23-1_GCA-000215935-V3_GENO_10000001	GCA_000215935.3	SAMN02472186	isolation_source	isolation_source	sediment-brine interface of the Shaban Deep in the Red Sea
RSGB23-1_GCA-000215955-V3_GENO_10000001	GCA_000215955.3	SAMN02472183	isolation_source	isolation_source	brine-seawater interface of the Shaban Deep in the Red Sea
RSGB23-1_GCA-000217955-V4_GENO_10000001	GCA_000217955.4	SAMN02471959	isolation_source	isolation_source	Genetically modified
RSGB23-1_GCA-000218485-V2_GENO_10000001	GCA_000218485.2	SAMN02470930	isolation_source	isolation_source	surface of seaweed
RSGB23-1_GCA-000219125-V2_GENO_10000001	GCA_000219125.2	SAMN02469409	host	host	termite
RSGB23-1_GCA-000219125-V2_GENO_10000001	GCA_000219125.2	SAMN02469409	isolation_source	isolation_source	termite hindgut
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000220085-V2_GENO_10000001	GCA_000220085.2	SAMN00621705	host	host	Homo sapiens
RSGB23-1_GCA-000222025-V2_GENO_10000001	GCA_000222025.2	SAMN02952884	host	host	Homo sapiens
RSGB23-1_GCA-000222025-V2_GENO_10000001	GCA_000222025.2	SAMN02952884	isolation_source	isolation_source	OP swab
RSGB23-1_GCA-000222045-V2_GENO_10000001	GCA_000222045.2	SAMN02952885	host	host	Homo sapiens
RSGB23-1_GCA-000222045-V2_GENO_10000001	GCA_000222045.2	SAMN02952885	isolation_source	isolation_source	blood
RSGB23-1_GCA-000222065-V2_GENO_10000001	GCA_000222065.2	SAMN02952886	host	host	Homo sapiens
RSGB23-1_GCA-000222065-V2_GENO_10000001	GCA_000222065.2	SAMN02952886	isolation_source	isolation_source	knee fluid
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000222705-V2_GENO_10000001	GCA_000222705.2	SAMN00621712	host	host	Homo sapiens
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	env_medium	env_medium	biological product [ENVO:02000043]
RSGB23-1_GCA-000222725-V2_GENO_10000001	GCA_000222725.2	SAMN00621706	host	host	Homo sapiens
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	env_broad_scale	env_broad_scale	terrestrial biome [ENVO:00000446]
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	env_local_scale	env_local_scale	human-associated habitat [ENVO:00009003]
RSGB23-1_GCA-000223255-V2_GENO_10000001	GCA_000223255.2	SAMN00621709	env_medium	env_medium	biological product [ENVO:02000043]
