#SAMPLE	BIOSAMPLE	STUDY	ENVIRONMENT	SOURCE_SAMPLE_LINK
ACIN21-1_SAMN05421555_METAG	SAMN05421555	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421555/
ACIN21-1_SAMN05421561_METAG	SAMN05421561	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421561/
ACIN21-1_SAMN05421563_METAG	SAMN05421563	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421563/
ACIN21-1_SAMN05421660_METAG	SAMN05421660	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421660/
ACIN21-1_SAMN05421697_METAG	SAMN05421697	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421697/
ACIN21-1_SAMN05421699_METAG	SAMN05421699	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421699/
ACIN21-1_SAMN05421703_METAG	SAMN05421703	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421703/
ACIN21-1_SAMN05421706_METAG	SAMN05421706	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421706/
ACIN21-1_SAMN05421707_METAG	SAMN05421707	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421707/
ACIN21-1_SAMN05421901_METAG	SAMN05421901	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421901/
ACIN21-1_SAMN05421913_METAG	SAMN05421913	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05421913/
ACIN21-1_SAMN05422104_METAG	SAMN05422104	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422104/
ACIN21-1_SAMN05422106_METAG	SAMN05422106	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422106/
ACIN21-1_SAMN05422107_METAG	SAMN05422107	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422107/
ACIN21-1_SAMN05422108_METAG	SAMN05422108	ACIN21-1	marine metagenome, seawater metagenome	https://www.ncbi.nlm.nih.gov/biosample/SAMN05422108/
