DATASET_SIMPLEBAR
SEPARATOR	TAB
DATASET_LABEL	# genomes per order
COLOR	#555555
WIDTH	80
MARGIN	2
SHOW_VALUES	1
LEGEND_TITLE	Order sizes
LEGEND_SHAPES	1
LEGEND_COLORS	#555555
LEGEND_LABELS	# genomes
DATA
Leptospirales	88
Solirubrobacterales	180
Nitriliruptorales	23
Euzebyales	10
Streptomycetales	839
Streptosporangiales	265
Mycobacteriales	1955
Actinomycetales	3243
Propionibacteriales	555
Jiangellales	22
Acidimicrobiales	1404
Deinococcales	192
Cyanobacteriales	510
Phormidesmiales	82
Elainellales	17
Leptolyngbyales	35
Oligosphaerales	54
JABSQK01	10
Lentisphaerales	15
Victivallales	296
RFP12	374
UBA8416	23
CAIKKV01	12
SS1-B-03-39	10
CAIVKH01	14
LD1-PB3_B	60
CAIQIC01	13
Opitutales	719
Limisphaerales	366
Palsa-1439	22
Chthoniobacterales	379
Verrucomicrobiales	613
Balneolales	103
Rhodothermales	136
J057	22
Chitinophagales	1755
Flavobacteriales	4963
Sphingobacteriales	452
B-17B0	71
Bacteroidales	8738
Cytophagales_A	49
Cytophagales	1108
Gemmatales	90
Isosphaerales	37
Planctomycetales	226
Pirellulales	621
SM23-33	41
Sedimentisphaerales	105
UBA1845	40
Phycisphaerales	328
Brocadiales	27
UBA2386	48
UBA1135	116
PLA2	10
UBA1146	20
UBA8108	19
UBA11346	26
Multivoradales	89
RPQK01	29
Pyrinomonadales	137
Bryobacterales	252
Acidoferrales	140
Vicinamibacterales	299
Caedimonadales	13
Azospirillales	73
UBA8366	67
Kiloniellales	94
Acetobacterales	472
UBA2966	13
GCA-2731375	24
VXPW01	11
JAAXGF01	17
Rhodospirillales_A	216
Sphingomonadales	1806
Rhodobacterales	2220
Caulobacterales	1001
Rhizobiales	2740
Rhodospirillales	86
Rickettsiales	380
GCA-2729495	41
Steroidobacterales	278
Xanthomonadales	924
Acidithiobacillales	16
Arenicellales	180
Acidiferrobacterales	42
UBA9214	23
Chromatiales	188
HK1	101
Methylococcales	231
GRL18	20
Granulosicoccales	53
Legionellales	138
Enterobacterales	2941
Pseudomonadales	3707
Burkholderiales	5790
Desulfobacterales	265
C00003060	19
Desulfobulbales	183
Dissulfuribacterales	34
Syntrophales	76
Geobacterales	89
UBA7976	27
Polyangiales	202
Nannocystales	33
Fen-1088	23
Haliangiales	60
Myxococcales	130
